yelp_id,place_id,name,street_name,city,county,state,postal_code,coordinates,rating,review_count,business_status,category,hours
-Vp8Mhlw6a-uOmTpArWayg,ChIJY-zDUZSB3YgREsVpndT6wyU,"('Camping World of Kissimmee',)",5175 W Irlo Bronson Memorial Hwy,Kissimmee,Osceola County,FL,34746,"(28.3341878, -81.4903073)",4.2,1417,OPERATIONAL,"['car_dealer', 'car_repair', 'point_of_interest', 'store', 'establishment']","['Monday: 9:00 AM – 6:00 PM', 'Tuesday: 9:00 AM – 6:00 PM', 'Wednesday: 9:00 AM – 6:00 PM', 'Thursday: 9:00 AM – 6:00 PM', 'Friday: 9:00 AM – 6:00 PM', 'Saturday: 9:00 AM – 5:00 PM', 'Sunday: 12:00 – 5:00 PM']"
c2J1orq1IwfoO4k_JlKrGw,ChIJWQGsYfp754gRBJTup9rSLJw,"('The Shooting Gallery Range',)",nan 39th St,Orlando,Orange County,FL,32839,"(28.5036882, -81.4183259)",4.3,449,OPERATIONAL,"['point_of_interest', 'store', 'establishment']","['Monday: 10:00 AM – 7:00 PM', 'Tuesday: 10:00 AM – 7:00 PM', 'Wednesday: 10:00 AM – 7:00 PM', 'Thursday: 10:00 AM – 7:00 PM', 'Friday: 10:00 AM – 7:00 PM', 'Saturday: 10:00 AM – 7:00 PM', 'Sunday: 10:00 AM – 7:00 PM']"
TfDYJHCE7eI2bM1T1kXUpA,ChIJg5Qop0Ga44kRJEvFclLHMCU,"('Concord Center Dental',)",136 Sudbury Rd,Concord,Middlesex County,MA,01742,"(42.456518, -71.355886)",4.8,18,OPERATIONAL,"['dentist', 'health', 'point_of_interest', 'establishment']","['Monday: 8:00 AM – 5:00 PM', 'Tuesday: 8:00 AM – 5:00 PM', 'Wednesday: 8:00 AM – 5:00 PM', 'Thursday: 8:00 AM – 5:00 PM', 'Friday: Closed', 'Saturday: Closed', 'Sunday: Closed']"
QtOIsiOMG74kTCuGlslN3A,ChIJcbRj7VcF9YgR20aWerLBF7g,"('Affordable Handyman',)",1266 W Paces Ferry Rd NW,Atlanta,Fulton County,GA,30327,"(33.8482203, -84.4284947)",4.6,11,OPERATIONAL,"['point_of_interest', 'establishment']","['Monday: 9:00 AM – 5:00 PM', 'Tuesday: 9:00 AM – 5:00 PM', 'Wednesday: 9:00 AM – 5:00 PM', 'Thursday: 9:00 AM – 5:00 PM', 'Friday: 9:00 AM – 5:00 PM', 'Saturday: 9:00 AM – 5:00 PM', 'Sunday: Closed']"
1geGFZVFG2G28Dvt2oYQ6Q,ChIJF9TpuP9244kRFKBVhuX6RWM,"('Maxima Gift Center',)",212 Massachusetts Ave,Arlington,Middlesex County,MA,02474,"(42.4059899, -71.14290640000002)",5,39,OPERATIONAL,"['point_of_interest', 'store', 'establishment']","['Monday: 10:00 AM – 7:00 PM', 'Tuesday: 10:00 AM – 7:00 PM', 'Wednesday: 10:00 AM – 7:00 PM', 'Thursday: 10:00 AM – 7:00 PM', 'Friday: 10:00 AM – 7:00 PM', 'Saturday: 10:00 AM – 7:00 PM', 'Sunday: 11:00 AM – 5:00 PM']"
AhQItDVTLm2ditZYAGaZUQ,ChIJWQX0n92IOIgR9kCXYC1CWqo,"(""Wendy's"",)",1054 E Broad St,Columbus,Franklin County,OH,43205,"(39.9657496, -82.97302409999999)",3.7,1681,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 6:30 AM – 10:00 PM', 'Tuesday: 6:30 AM – 10:00 PM', 'Wednesday: 6:30 AM – 10:00 PM', 'Thursday: 6:30 AM – 10:00 PM', 'Friday: 6:30 AM – 10:00 PM', 'Saturday: 6:30 AM – 10:00 PM', 'Sunday: 6:30 AM – 10:00 PM']"
R87WhJODzIFAesjfo-Qnqw,ChIJcWho5KSNOIgRROdf3wETxIk,"('Donatos Pizza',)",4515 Kenny Rd,Columbus,Franklin County,OH,43220,"(40.0512483, -83.0501075)",3.9,123,OPERATIONAL,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 11:00 AM – 12:00 AM', 'Tuesday: 11:00 AM – 12:00 AM', 'Wednesday: 11:00 AM – 12:00 AM', 'Thursday: 11:00 AM – 12:00 AM', 'Friday: 11:00 AM – 1:00 AM', 'Saturday: 11:00 AM – 1:00 AM', 'Sunday: 11:00 AM – 12:00 AM']"
AhgYb4Y55q6_RAIVe3hmhg,ChIJP_weRhAKlVQR1vrriDb_iC4,"('Lubliner Florist',)",1300 SW 5th Ave,Portland,Multnomah County,OR,97201,"(45.51428079999999, -122.6793509)",4.9,70,OPERATIONAL,"['florist', 'point_of_interest', 'store', 'establishment']","['Monday: 9:30 AM – 2:30 PM', 'Tuesday: 9:30 AM – 2:30 PM', 'Wednesday: 9:30 AM – 2:30 PM', 'Thursday: 9:30 AM – 2:30 PM', 'Friday: 9:30 AM – 2:30 PM', 'Saturday: 9:30 – 9:45 AM', 'Sunday: Closed']"
WgNlXrGZBzjTb-5vLr72SQ,ChIJMajJ8h_YhVQRnkFzjBIiP04,"('A&W Canada',)",12808 King George Blvd,Surrey,Metro Vancouver,BC,V3T 2S9,"(49.205666, -122.866873)",3.7,466,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']"
VjMMrRrGYfqVQZuN2ahQ5w,ChIJE6pO6EB3hlQRxU_knvWAjh0,"('Hyde Park Insurance Agencies Ltd',)",5901 Broadway,Burnaby,Metro Vancouver,BC,V5B 2Y1,"(49.2652477, -122.9774725)",4.8,145,OPERATIONAL,"['insurance_agency', 'point_of_interest', 'establishment']","['Monday: 9:00 AM – 9:00 PM', 'Tuesday: 9:00 AM – 9:00 PM', 'Wednesday: 9:00 AM – 9:00 PM', 'Thursday: 9:00 AM – 9:00 PM', 'Friday: 9:00 AM – 9:00 PM', 'Saturday: 9:00 AM – 6:00 PM', 'Sunday: 9:00 AM – 6:00 PM']"
Ql7puMwwmww8PH8XnAQxaA,ChIJOeCME0V_hlQRBnGu52qY7HI,"('Kashgar Uyghur Cuisine',)",1163 Pinetree Way,Coquitlam,Metro Vancouver,BC,V3T 4Z6,"(49.2798454, -122.7927692)",4.5,110,OPERATIONAL,"['restaurant', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']","['Monday: 12:00 – 7:00 PM', 'Tuesday: 12:00 – 7:00 PM', 'Wednesday: 12:00 – 7:00 PM', 'Thursday: 12:00 – 7:00 PM', 'Friday: Closed', 'Saturday: 12:00 – 7:00 PM', 'Sunday: 12:00 – 7:00 PM']"
mT1rn_dTTTuKhK_DyK_Dzg,ChIJU25Wp-x0hlQRm1Vh6Xj-kBI,"('Gigi Blin',)",1400 W 70th Ave,Vancouver,Metro Vancouver,BC,V6P 2Z2,"(49.2084766, -123.1379274)",4.5,322,OPERATIONAL,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']","['Monday: 8:00 AM – 4:00 PM', 'Tuesday: 8:00 AM – 4:00 PM', 'Wednesday: 8:00 AM – 4:00 PM', 'Thursday: 8:00 AM – 4:00 PM', 'Friday: 8:00 AM – 4:00 PM', 'Saturday: 9:00 AM – 4:00 PM', 'Sunday: 9:00 AM – 4:00 PM']"
jfwowXu2JwC8W9DQihvfng,ChIJL1s_dxOc3YgRddM0aYR4OkY,"('Bravo Supermarkets',)",4651 Old Pleasant Hill Rd,Kissimmee,Osceola County,FL,34758,"(28.1461811, -81.44170369999999)",4.1,1735,OPERATIONAL,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']","['Monday: 7:00 AM – 8:00 PM', 'Tuesday: 7:00 AM – 8:00 PM', 'Wednesday: 7:00 AM – 8:00 PM', 'Thursday: 7:00 AM – 8:00 PM', 'Friday: 7:00 AM – 8:00 PM', 'Saturday: 7:00 AM – 8:00 PM', 'Sunday: 7:00 AM – 8:00 PM']"
cpvW0ZzkRPEqqqnXz_LI1A,ChIJm_4yO27YhVQR6j8UAeQDkJw,"('Hops, A Northwest Pub',)",48 Eighth St,New Westminster,Metro Vancouver,BC,V3M 3N8,"(49.2017082, -122.9125777)",3.8,387,OPERATIONAL,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 12:00 – 10:00 PM', 'Tuesday: 12:00 – 10:00 PM', 'Wednesday: 12:00 – 10:00 PM', 'Thursday: 12:00 – 11:00 PM', 'Friday: 12:00 PM – 12:00 AM', 'Saturday: Open 24 hours', 'Sunday: 12:00 – 10:00 PM']"
UW6Z5_ytRP3e-L6U2_Lt9A,ChIJ3apMIzaG3YgRPmDu1bLX7as,"('Sirenas Beauty Salon-Unisex',)",2074 E Osceola Pkwy,Kissimmee,Osceola County,FL,34743,"(28.343484, -81.360899)",4.5,66,OPERATIONAL,"['beauty_salon', 'hair_care', 'point_of_interest', 'establishment']","['Monday: 10:00 AM – 6:30 PM', 'Tuesday: 10:00 AM – 6:30 PM', 'Wednesday: 10:00 AM – 6:30 PM', 'Thursday: 10:00 AM – 6:30 PM', 'Friday: 10:00 AM – 6:30 PM', 'Saturday: 10:00 AM – 6:30 PM', 'Sunday: 11:00 AM – 5:00 PM']"
bDVYQHwMAFkWa9GTX9OM9g,ChIJ6VBU_axx44kRLl-xAg73ge4,"('Hidden Beauty',)",54 Summer St,Malden,Middlesex County,MA,02148,"(42.4287447, -71.0741086)",4.8,32,OPERATIONAL,"['beauty_salon', 'hair_care', 'spa', 'point_of_interest', 'establishment']","['Monday: 11:00 AM – 7:00 PM', 'Tuesday: 11:00 AM – 8:00 PM', 'Wednesday: 11:00 AM – 8:00 PM', 'Thursday: 11:00 AM – 8:00 PM', 'Friday: 11:00 AM – 8:00 PM', 'Saturday: 12:00 – 6:00 PM', 'Sunday: Closed']"
vGeq7-DlPwFYAiNpuL3aTQ,ChIJid8-dMR4bIcRz_LlPIDf6l4,"('Colorado CarShare',)",2855 63rd St,Boulder,Boulder County,CO,80301,"(40.0276117, -105.2118686)",4.5,31,OPERATIONAL,"['car_rental', 'point_of_interest', 'establishment']","['Monday: 9:00 AM – 5:00 PM', 'Tuesday: 9:00 AM – 5:00 PM', 'Wednesday: 9:00 AM – 5:00 PM', 'Thursday: 9:00 AM – 5:00 PM', 'Friday: 9:00 AM – 5:00 PM', 'Saturday: Closed', 'Sunday: Closed']"
AnBBYzBws1gv-l9X32d6JQ,ChIJ8bUx9Mx-44kRIECPFwSWOfU,"('Roslindale Fish Market',)",38 Poplar St,Boston,Suffolk County,MA,02131,"(42.28594890000001, -71.1290011)",4.8,58,OPERATIONAL,"['food', 'point_of_interest', 'establishment']","['Monday: 9:30 AM – 7:00 PM', 'Tuesday: 9:30 AM – 7:00 PM', 'Wednesday: 9:30 AM – 7:00 PM', 'Thursday: 9:30 AM – 7:00 PM', 'Friday: 9:30 AM – 7:00 PM', 'Saturday: 9:30 AM – 7:00 PM', 'Sunday: Closed']"
