name,latitude,longitude
Chicopee Fire Department,42.183206,-72.6135575
North Brookfield Fire/Rescue,42.2682477,-72.0831342
Hanover Fire Department,42.1497643,-70.8685869
Medford Fire Department,42.4154502,-71.1100739
Lynn Fire Department,42.4723793,-70.9670901
Acushnet Fire Department,41.7348123,-70.8945668
Wakefield Fire Department,42.4825372,-71.0653021
Canton Fire Department,42.1562249,-71.1488411
"Boston Fire Department Engine 52, Ladder 29",42.2908822,-71.0896182
Princeton Fire Department,42.449939,-71.8793575
Whately Fire Department,42.445375,-72.6214585
Plymouth Fire Department,41.9098603,-70.551111
Revere Fire Department,42.4082435,-70.9949688
Oxford Fire Department,42.1049083,-71.8672922
Dighton Fire Department,41.8154058,-71.1235875
Everett Fire Department,42.4055349,-71.0570961
West Newbury Fire Department,42.8011095,-70.9882165
Holyoke Fire Department,42.1860549,-72.6501962
Scituate Fire Department,42.192806,-70.7398284
South Hadley-District 1,42.2247787,-72.5891552
Wrentham Fire Department,42.0330898,-71.3916012
Fall River Fire Department,41.7539977,-71.1143001
Tewksbury Fire Department,42.6364691,-71.2385294
Quincy Fire Department,42.2447564,-70.9984838
Springfield Fire Department,42.1288487,-72.5302565
Warwick Fire Department,42.6802547,-72.3383592
Southampton Fire Department,42.2301686,-72.7302138
Boston Fire Department Engine 16,42.2782692,-71.0787474
Winthrop Fire Department,42.3741185,-70.9718419
Kingston Fire Department,42.0033015,-70.7538095
Attleboro Fire Department,41.9199066,-71.2575652
Hudson Fire Department,42.389868,-71.5111048
Revere Fire Department,42.41052,-71.0124182
Bridgewater Fire Department,41.990543,-70.9468839
Newton Fire Department: Station 10,42.2994193,-71.187796
Boston Fire Department Engine 5,42.3791,-71.0302213
Lawrence Fire Department,42.7033471,-71.1825825
Abington Fire Department,42.1322997,-70.9504986
Yarmouth Fire Department,41.6501246,-70.2454009
Easton Fire & Rescue Department,42.020854,-71.1220909
Millbury Fire Department,42.2312816,-71.7422331
Woods Hole Fire Station,41.5310354,-70.6576778
Medford Fire Department,42.4206508,-71.1332585
Hardwick Fire Department,42.3526656,-72.1993165
Burlington Fire Department,42.4950007,-71.2247893
Webster Fire Department,42.0465949,-71.8845148
Hancock Fire Department,42.4287963,-73.348133
Salem Fire Department,42.5283551,-70.9028455
Hingham Fire Department,42.2417816,-70.8962905
Longmeadow Fire Department,42.0510519,-72.580229
Manchester Fire Department,42.5760588,-70.7716215
Billerica Fire Department,42.5626584,-71.2724297
Holliston Fire Department,42.2004596,-71.418242
Wenham Fire Department,42.6048513,-70.8862458
Chelmsford Fire Department,42.6065826,-71.317046
North Attleboro Fire Department,42.001668,-71.2958476
Lanesborough Fire Department,42.511525,-73.2303407
Westborough Fire Department,42.2701366,-71.6159068
Norwell Fire Department,42.1296366,-70.8036829
Gosnold Fire Department,41.4191008,-70.9285939
Milton Fire Department,42.254433,-71.0801809
Barre Fire Department,42.4246284,-72.1034422
Rockport Fire Department,42.6561745,-70.6194763
Worcester Fire Department,42.2509631,-71.7669704
Boylston Fire Department,42.3496772,-71.7382189
Norton Fire Department,41.9489727,-71.226131
Sandwich Fire Department,41.6872271,-70.5057802
Cummington Fire Department,42.4589577,-72.8913226
Acton Public Safety Building,42.4804484,-71.4447581
Station 2,42.160449,-72.8590641
Sudbury Fire Department,42.4181326,-71.406509
Pittsfield Fire Department,42.4612341,-73.2214235
Taunton Fire Department,41.8825156,-71.0325649
Shrewsbury Fire Department,42.27603,-71.7448513
Lowell Fire Department,42.642324,-71.3621446
Seekonk Fire Department,41.846978,-71.3330616
Lowell Fire Department,42.631771,-71.3009873
Sherborn Fire Department,42.2460345,-71.3684932
Medfield Fire Department,42.1914419,-71.3097613
Lincoln Fire Department,42.4131299,-71.3295687
Springfield Fire Department,42.1138549,-72.497976
New Bedford Fire Department,41.622584,-70.9239581
Berkley Fire & Rescue,41.8462111,-71.082977
Windsor Fire Department,42.5107307,-73.0527655
Athol Fire Department,42.5840137,-72.2056876
West Springfield Fire Department,42.1042707,-72.6235371
Andover Fire Department,42.6581353,-71.1425213
Milford Fire Department,42.1427613,-71.5176042
New Braintree Fire Department,42.3137657,-72.1291436
Worcester Fire Department,42.2673272,-71.7738032
Hubbardston Fire Department,42.4882749,-72.0142594
Palmer Fire Department,42.1571351,-72.3285324
Granville Fire Department,42.0663605,-72.8807922
Brockton Fire Department,42.08539,-71.0210763
Peabody Fire Department,42.5370968,-70.954005
Georgetown Fire Department,42.744507,-70.9575413
Concord Fire Department,42.4565668,-71.344069
Somerville Fire Department,42.3789022,-71.0925588
Wendell Fire Department,42.5530189,-72.3968217
Great Barrington Fire Department,42.2567347,-73.3645559
Alford Fire Department,42.2264762,-73.4228374
Huntington Fire Department,42.2904104,-72.8399827
Holyoke Fire Department,42.1884306,-72.6337954
Lynn Fire Department,42.4634474,-70.9651217
Bondsville Fire Department,42.2168172,-72.3444633
Boston Fire Department Engine 10,42.3550774,-71.0529956
Lynn Fire Department,42.4704431,-70.9364623
Waltham Fire Department,42.3745848,-71.2184195
Wareham Fire Department,41.7864616,-70.7499938
Middleborough Fire Department,41.8936767,-70.9070078
Hadley Fire Department,42.3878352,-72.5809961
Blackstone Fire Department,42.017416,-71.5334022
Walpole Fire Department,42.1456085,-71.2520571
Ashburnham Fire Department,42.6275879,-71.9178877
Concord Fire Department,42.4561792,-71.3914145
Swansea Fire Department,41.7293799,-71.1995163
Hawley Fire Department,42.5614207,-72.8774668
Uxbridge Fire Department,42.0312283,-71.6311961
Sutton Fire Department,42.0930427,-71.7468058
Melrose Fire Department,42.4564542,-71.0533805
Woburn Fire Department,42.509231,-71.1606484
Pelham Fire Department,42.378122,-72.468981
Salisbury Fire Department,42.8459674,-70.8629938
Shirley Fire Department,42.5434115,-71.6584858
Swansea Fire Department,41.7256343,-71.210454
North Reading Fire Department,42.5739256,-71.0778971
Taunton Fire Department,41.903578,-71.091796
Southbridge Fire Department,42.0743366,-72.0344499
Chicopee Fire Department,42.1737331,-72.5363388
Sutton Fire Department,42.1750319,-71.7216561
Falmouth Fire Department,41.6001558,-70.636223
Natick Fire Department,42.2735388,-71.3159368
Florida Fire Department,42.6953029,-73.0348794
Beverly Fire Department,42.5626582,-70.8141272
Rehoboth Fire Department,41.7946174,-71.2450948
Marshfield Fire Department,42.1474027,-70.7401114
Plymouth Fire Department,41.8131754,-70.6100376
"Boston Fire Department Engine 2, Ladder 19",42.3349826,-71.0371376
Watertown Fire Department Station 3,42.3775578,-71.1885466
Hamilton Fire Department,42.6123641,-70.8721001
Leominster Fire Department,42.5405164,-71.7410795
Andover Fire Department,42.6729911,-71.1877861
Winchester Fire Department,42.4421349,-71.1736273
